,source,z-score,pt,ref,1gram-precision,2gram-precision,3gram-precision,4gram-precision,1gram-recall,2gram-recall,3gram-recall,4gram-recall,wmdist,pt_len,ref_len
10,The bombs in Thai tourist paradise were hidden in flower pots - horrified tourists escaped,0.941430768401866,"['thaimaan', 'turistiparatiisin', 'pommit', 'oli', 'piilotettu', 'kukkaruukkuihin', 'turistit', 'pakenivat', 'kauhuissaan']","['thai', 'matkailualueen', 'pommit', 'piilotettiin', 'kukkaruukkuihin', 'kauhistuneita', 'turisteja', 'pakeni']",0.2222222222222222,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.23007871666294433,9,8
11,"The complaints are many, covering everything from land use to the governing coalition's stranglehold on power.",0.7319485763472521,"['valitukset', 'ovat', 'moninaisia', 'ja', 'kattavat', 'kaiken', 'maankäytöstä', 'hallitsevan', 'koalition', 'vallan', 'kuristusotteeseen']","['valitukset', 'ovat', 'moninaisia', 'kattaen', 'kaiken', 'maankäytöstä', 'hallitusten', 'liittoutuneille', 'vallan', 'kuristukseen']",0.5454545454545454,0.3,0.1111111111111111,0.0,0.6,0.3333333333333333,0.125,0.0,0.289829773551201,11,10
12,"At their peak spin rates, these maturing stars eject large amounts of stellar wind.",0.1567238239333999,"['huippupyörimisnopeudellaan', 'nämä', 'aikuistuvat', 'tähdet', 'syöksevät', 'suuria', 'määriä', 'tähtituulta']","['korkeimmilla', 'pyörimisnopeuksillaan', 'nämä', 'kypsyvät', 'tähdet', 'tuovat', 'esiin', 'suuria', 'määriä', 'tähtihävää']",0.5,0.14285714285714285,0.0,0.0,0.4,0.1111111111111111,0.0,0.0,0.3186665486412467,8,10
13,"Two of the men were rescued by a local fishing boat, while the third man, aged 60, was found exhausted and clinging to a buoy without a lifejacket.",0.5638444769537889,"['paikallinen', 'kalastusvene', 'pelasti', 'kaksi', 'miehistä', 'ja', 'kolmas', '60-vuotias', 'mies', 'löytyi', 'uupuneena', 'roikkumassa', 'poijusta', 'ilman', 'pelastusliivejä']","['kaksi', 'miestä', 'pelastettiin', 'paikallisella', 'kalastusaluksella', 'kun', 'taas', 'kolmas', 'mies', '60-vuotias', 'oli', 'kadonnut', 'ja', 'kiinnittynyt', 'poijuun', 'ilman', 'pelastusliivettä']",0.4,0.0,0.0,0.0,0.35294117647058826,0.0,0.0,0.0,0.2824239328038775,15,17
14,The head of the Commanding Officers is an Inspector in Lahti.,-0.605016843463348,"['päällystöesimiehenä', 'toimii', 'komisario', 'lahdessa']","['hallituksen', 'päällikkö', 'on', 'lahden', 'tarkastaja']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27983211975567346,4,5
15,"Amid the Fury of the Olympics, the Zen of the Trampoline",-0.2052528923309129,"['trampoliinin', 'rauhaa', 'olympialaisvimman', 'keskellä']","['olympialaisten', 'raivoissa', 'trampoliinin', 'zenissa']",0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.44346079315662384,4,4
16,"The director, Earl Phillip, ""produced a pistol, put his right index finger on the trigger, and drove the barrel into Vincent's knee cap,"" Bordini said in the complaint.",-0.120372186168338,"['päällikkö', 'earl', 'phillip', 'otti', 'esiin', 'pistoolin', 'laittoi', 'oikean', 'etusormensa', 'liipaisimelle', 'ja', 'työnsi', 'piipun', 'vincentin', 'polvilumpiota', 'vasten', 'bordini', 'sanoi', 'kanteessa']","['ohjaaja', 'earl', 'phillip', 'tuotti', 'pistoolin', 'laittoi', 'oikean', 'etusormensa', 'laukaisijalle', 'ja', 'ajoi', 'tynnyrin', 'vincentin', 'polvisuojukseen', 'bordini', 'sanoi', 'valituksessaan']",0.5263157894736842,0.2777777777777778,0.11764705882352941,0.0625,0.5882352941176471,0.3125,0.13333333333333333,0.07142857142857142,0.20351870016031234,19,17
17,Forward motion is not the goal.,0.880690400956278,"['tavoitteena', 'ei', 'ole', 'liikkua', 'eteenpäin']","['etenemisliike', 'ei', 'ole', 'tavoite']",0.4,0.25,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.35632530111227034,5,4
18,"The work days can be long, from eight to ten hours, but the active work sections only last from ten minutes to a couple of hours.",1.02340571119085,"['työpäivät', 'voivat', 'olla', 'pitkiäkin', 'kahdeksasta', 'kymmeneen', 'tuntiin', 'mutta', 'aktiiviset', 'työosuudet', 'kestävät', 'vain', 'kymmenestä', 'minuutista', 'pariin', 'tuntiin']","['työpäivät', 'voivat', 'olla', 'pitkiä', 'kahdeksasta', 'kymmeneen', 'tuntiin', 'mutta', 'aktiiviset', 'työosat', 'kestävät', 'vain', 'kymmenestä', 'minuutista', 'muutaman', 'tunnin']",0.75,0.6,0.42857142857142855,0.23076923076923078,0.75,0.6,0.42857142857142855,0.23076923076923078,0.08844266432052851,16,16
19,"Those who acquire a Guardianship get the exact co-ordinates of their Greenspace, which makes it possible for example to visit the area.",-0.639410349326679,"['hallintaoikeuden', 'hankkinut', 'saa', 'lohkostaan', 'tarkat', 'sijaintitiedot', 'mikä', 'mahdollistaa', 'esimerkiksi', 'vierailun', 'lohkolla']","['henkivakuutuksen', 'hankkijat', 'saavat', 'tarkat', 'koordinaatit', 'greenspace', 'tilinsä', 'mikä', 'mahdollistaa', 'esimerkiksi', 'vierailun', 'alueelle']",0.45454545454545453,0.3,0.2222222222222222,0.125,0.4166666666666667,0.2727272727272727,0.2,0.1111111111111111,0.17505717686774866,11,12
20,"Within days, Pokémon Go had more users than Tinder and nearly as many as Twitter.",0.8774150468260041,"['vain', 'päivissä', 'pokémon', 'golla', 'oli', 'käyttäjiä', 'enemmän', 'kuin', 'tinderillä', 'ja', 'lähes', 'yhtä', 'paljon', 'kuin', 'twitterillä']","['päivien', 'kuluessa', 'pokémon', 'goilla', 'oli', 'enemmän', 'käyttäjiä', 'kuin', 'tinder', 'ja', 'lähes', 'yhtä', 'monta', 'kuin', 'twitter']",0.6,0.14285714285714285,0.07692307692307693,0.0,0.6,0.14285714285714285,0.07692307692307693,0.0,0.26350752495319024,15,15
21,"Two jockeys have reached the milestone in jump racing - champion jockey Richard Johnson and retired 20-time champion Sir Anthony McCoy, who had more than 4,300 victories in a record-breaking career.",0.9628829520087492,"['kaksi', 'kilparatsastajaa', 'ovat', 'saavuttaneet', 'tämän', 'virstanpylvään', 'estekilpailuissa', 'mestarijockey', 'richard', 'johnson', 'ja', 'eläköitynyt', '20-kertainen', 'mestari', 'sir', 'anthony', 'mccoy', 'jolla', 'oli', 'ennätyksiä', 'rikkovalla', 'urallaan', 'yli', '4300', 'voittoa']","['kaksi', 'jockeyta', 'on', 'saavuttanut', 'virstanpylväämän', 'hyppyurheilussa', 'mestari', 'jockey', 'richard', 'johnson', 'ja', 'eläkkeellä', 'oleva', '20-kertainen', 'mestari', 'sir', 'anthony', 'mccoy', 'jolla', 'oli', 'yli', '4', '300', 'voittoa', 'ennätyksellisessä', 'urassa']",0.52,0.3333333333333333,0.2608695652173913,0.18181818181818182,0.5,0.32,0.25,0.17391304347826086,0.21869293478071788,25,26
22,It's been a fantastic three years back with Helen and Robin.,-0.300500680723522,"['kuluneet', 'kolme', 'vuotta', 'helenin', 'ja', 'robin', 'kanssa', 'ovat', 'olleet', 'mahtavia']","['se', 'on', 'ollut', 'fantastinen', 'kolme', 'vuotta', 'takaisin', 'helen', 'ja', 'robin']",0.4,0.2222222222222222,0.0,0.0,0.4,0.2222222222222222,0.0,0.0,0.3180044730635404,10,10
23,Monday’s story about Helen Skelton (on the right) is one of the most read ones on the Iltalehti website this week.,-0.5234099096975271,"['helen', 'skeltonista', 'oik', 'maanantaina', 'tehty', 'juttu', 'on', 'tämän', 'viikon', 'luetuimpia', 'iltalehden', 'verkkosivuilla']","['maanantai', 'tarina', 'helen', 'skeltonista', 'oikealla', 'on', 'yksi', 'tällä', 'viikolla', 'iltalehden', 'verkkosivuilla', 'lukeneista']",0.4166666666666667,0.18181818181818182,0.0,0.0,0.4166666666666667,0.18181818181818182,0.0,0.0,0.19005418269011481,12,12
24,"One last test awaited in Brazil, a contest not so much between Biles and the rest of the field but between herself and the burden of oversized expectations.",0.199014993343968,"['viimeinen', 'koe', 'odotti', 'brasiliassa', 'kilpailu', 'joka', 'ei', 'ollut', 'niinkään', 'biles', 'ja', 'muiden', 'kilpailijoiden', 'välillä', 'vaan', 'hänen', 'ja', 'ylisuurien', 'odotusten', 'taakan', 'välillä']","['viimeinen', 'testi', 'odotettiin', 'brasiliassa', 'kilpailu', 'ei', 'ole', 'niin', 'paljon', 'bilesin', 'ja', 'muun', 'kentän', 'välillä', 'vaan', 'välillä', 'itsensä', 'ja', 'ylimitoitettujen', 'odotusten', 'taakse']",0.47619047619047616,0.1,0.0,0.0,0.47619047619047616,0.1,0.0,0.0,0.09955099040238385,21,21
25,Nothing will stop Phelps - won a historical gold in a show style,-0.1617269620886099,"['phelpsiä', 'ei', 'pysäytä', 'mikään', 'historiallinen', 'kulta', 'tuli', 'näytöstyyliin']","['mikään', 'ei', 'pysäytä', 'phelpsia', 'voitti', 'historiallisen', 'kultaa', 'showstyleissä']",0.375,0.14285714285714285,0.0,0.0,0.375,0.14285714285714285,0.0,0.0,0.26550228319559993,8,8
26,"Ethiopia's new prime minister, Hailemariam Desalegn, was plucked from relative obscurity to fill Mr. Meles's shoes.",-1.0966649722358,"['etiopian', 'uusi', 'pääministeri', 'hailemariam', 'desalegn', 'poimittiin', 'suhteellisen', 'tuntemattomana', 'täyttämään', 'meles’n', 'saappaat']","['etiopian', 'uusi', 'pääministeri', 'hailemariam', 'desalegn', 'karkotti', 'suhteellisen', 'hämärtyneisyytensä', 'täyttämään', 'herra', 'melesin', 'kengät']",0.6363636363636364,0.4,0.3333333333333333,0.25,0.5833333333333334,0.36363636363636365,0.3,0.2222222222222222,0.19773207296806472,11,12
27,The hearing of the Muhos foster home case continues at the Court of Appeal for both sentenced persons.,-0.9509413661687092,"['muhoksen', 'perhekotisurman', 'puinti', 'jatkuu', 'hovissa', 'molempien', 'tuomittujen', 'osalta']","['muhosin', 'homotyyppisen', 'tapauksen', 'kuuleminen', 'jatkuu', 'valituslautakunnassa', 'molempien', 'tuomittujen', 'osalta']",0.5,0.2857142857142857,0.16666666666666666,0.0,0.4444444444444444,0.25,0.14285714285714285,0.0,0.16900088429563143,8,9
28,"""Hillary Clinton and Tim Kaine continue to set the standard for financial transparency,"" Clinton campaign aide Jennifer Palmieri said in a statement.",-0.475836148636302,"['hillary', 'clinton', 'ja', 'tim', 'kaine', 'asettavat', 'mittapuun', 'taloudelliselle', 'läpinäkyvyydelle', 'clintonin', 'kampanja', 'avustaja', 'jennifer', 'palmieri', 'sanoi', 'lausunnossa']","['hillary', 'clinton', 'ja', 'tim', 'kaine', 'jatkavat', 'rahoitusnäkemyksen', 'asettamista', 'clintonin', 'kampanja', 'avustava', 'jennifer', 'palmieri', 'sanoi', 'lausunnossaan']",0.625,0.4666666666666667,0.2857142857142857,0.15384615384615385,0.6666666666666666,0.5,0.3076923076923077,0.16666666666666666,0.12606579792550862,16,15
29,The clarification raised new questions about the Republican presidential nominee's ability to communicate clearly to the American public.,0.333840174534487,"['selvitys', 'herätti', 'uusia', 'kysymyksiä', 'republikaanien', 'presidenttiehdokkaan', 'kyvystä', 'kommunikoida', 'selkeästi', 'amerikkalaisyleisölle']","['selvennys', 'herätti', 'uusia', 'kysymyksiä', 'republikaanisen', 'presidentin', 'ehdokkaan', 'kyvystä', 'viestiä', 'selkeästi', 'amerikkalaiselle', 'yleisölle']",0.5,0.2222222222222222,0.125,0.0,0.4166666666666667,0.18181818181818182,0.1,0.0,0.16931460150070765,10,12
30,"Now she's back on coffee, although that day, instead of her usual iced coffee, she went with a blended chai drink, another new addition.",-1.01758235360975,"['nyt', 'hän', 'on', 'palannut', 'kahvin', 'pariin', 'vaikkakin', 'tuona', 'päivänä', 'hän', 'tilasi', 'tavallisen', 'jääkahvinsa', 'sijaan', 'sekoitetun', 'chai', 'juoman', 'joka', 'on', 'yksi', 'uusista', 'lisäyksistä']","['nyt', 'hän', 'palaa', 'kahviin', 'vaikka', 'se', 'päivä', 'sen', 'sijaan', 'että', 'hän', 'oli', 'tavallinen', 'jääkaappi', 'hän', 'meni', 'sekoitettu', 'chai', 'juoma', 'toinen', 'uusi', 'lisäys']",0.22727272727272727,0.047619047619047616,0.0,0.0,0.22727272727272727,0.047619047619047616,0.0,0.0,0.2534015829899643,22,22
31,"Even on the television side, the viewers are divided between TV2 and Yle Fem channels.",1.29262105369591,"['television', 'puolellakin', 'katsojat', 'jakaantuvat', 'tv2', 'n', 'ja', 'yle', 'fem', '-kanaville']","['televisiopuolella', 'katsojat', 'jakautuvat', 'myös', 'tv2', 'n', 'ja', 'yle', 'femin', 'kanavien', 'välillä']",0.5,0.3333333333333333,0.25,0.14285714285714285,0.45454545454545453,0.3,0.2222222222222222,0.125,0.3399816627635555,10,11
32,Criminal Minds star Thomas Gibson sacked after hitting producer,0.154978642772735,"['criminal', 'minds', '-tähti', 'thomas', 'gibson', 'sai', 'kenkää', 'lyötyään', 'tuottajaa']","['criminal', 'mindsin', 'tähti', 'thomas', 'gibson', 'purettiin', 'sen', 'jälkeen', 'kun', 'hän', 'osui', 'tuottajaan']",0.3333333333333333,0.125,0.0,0.0,0.25,0.09090909090909091,0.0,0.0,0.2801625182235131,9,12
33,"An average forest owner is not able to piece it together, says Hakkarainen.",0.4615650446761861,"['keskiverto', 'metsänomistaja', 'ei', 'kykene', 'sitä', 'hahmottamaan', 'hakkarainen', 'sanoo']","['keskimääräinen', 'metsänomistaja', 'ei', 'pysty', 'kokoamaan', 'sitä', 'yhteen', 'hakkarainen', 'sanoo']",0.625,0.2857142857142857,0.0,0.0,0.5555555555555556,0.25,0.0,0.0,0.19203148524622962,8,9
34,This latest protest comes just days after protesters took to the streets en masse to support suspended President Dilma Rousseff as the country's senate voted for her impeachment.,0.630885318205847,"['tämä', 'viimeisin', 'mielenosoitus', 'tapahtui', 'vain', 'päiviä', 'sen', 'jälkeen', 'kun', 'mielenosoittajat', 'lähtivät', 'liikkeelle', 'yhtenä', 'joukkona', 'tukeakseen', 'virasta', 'pidätettyä', 'presidentti', 'dilma', 'rousseffia', 'maan', 'senaatin', 'äänestäessä', 'hänen', 'virkasyytteestään']","['tämä', 'viimeisin', 'protestio', 'tulee', 'vain', 'muutaman', 'päivän', 'kuluttua', 'kun', 'mielenosoittajat', 'lähtivät', 'katuja', 'paljolti', 'tukemaan', 'presidentti', 'dilma', 'rousseffia', 'koska', 'maan', 'senaatti', 'äänesti', 'hänen', 'vetoomuksensa', 'puolesta']",0.44,0.20833333333333334,0.08695652173913043,0.0,0.4583333333333333,0.21739130434782608,0.09090909090909091,0.0,0.21305937895193466,25,24
35,"Normally only native Fijians are interested in rugby, but this game brought our multicultural community together.",-0.613793679080753,"['normaalisti', 'vain', 'natiivit', 'fidžiläiset', 'ovat', 'kiinnostuneita', 'rugbysta', 'mutta', 'tämä', 'peli', 'yhdisti', 'monikulttuurisen', 'yhteisömme']","['normaalisti', 'vain', 'native', 'fijians', 'ovat', 'kiinnostuneita', 'rugby', 'mutta', 'tämä', 'peli', 'toi', 'monikulttuurisen', 'yhteisön', 'yhdessä']",0.6153846153846154,0.3333333333333333,0.09090909090909091,0.0,0.5714285714285714,0.3076923076923077,0.08333333333333333,0.0,0.1350695133443699,13,14
36,Something that would be fascinating to watch and at the same time explain the benefits of probiotics.,1.23478852663065,"['jotain', 'jota', 'olisi', 'kiehtovaa', 'katsoa', 'ja', 'joka', 'samalla', 'selittäisi', 'probioottien', 'etuja']","['jotain', 'mikä', 'olisi', 'kiehtovaa', 'katsella', 'ja', 'samalla', 'selittää', 'probioottien', 'edut']",0.5454545454545454,0.1,0.0,0.0,0.6,0.1111111111111111,0.0,0.0,0.08422829555130604,11,10
37,"From the beginning of May, product-level purchase information will be saved in Sokos and Emotion chains.",-0.0007309311038961,"['toukokuun', 'alusta', 'alkaen', 'tuotetason', 'ostotietoja', 'aletaan', 'tallettaa', 'sokos-', 'ja', 'emotion', 'ketjuissa']","['toukokuun', 'alusta', 'tuotetason', 'ostotiedot', 'tallennetaan', 'sokos-', 'ja', 'emotion', 'ketjuihin']",0.5454545454545454,0.3,0.1111111111111111,0.0,0.6666666666666666,0.375,0.14285714285714285,0.0,0.18250595906195566,11,9
38,"According to the speculations published by The Washington Post before Clinton’s speech, Clinton was going to criticise the economic platform by Republican Donald Trump published on Monday about it “only favours millionaires like him”.",0.602287229610313,"['the', 'washington', 'post', '-lehden', 'ennen', 'clintonin', 'puhetta', 'julkaisemien', 'spekulaatioiden', 'mukaan', 'clinton', 'aikoi', 'arvostella', 'republikaanien', 'donald', 'trumpin', 'maanantaina', 'julkistamaa', 'talousohjelmaa', 'siitä', 'että', 'se', 'suosii', 'vain', 'tämänkaltaisia', 'miljonäärejä']","['washington', 'postin', 'ennen', 'clintonin', 'puheen', 'julkaisemia', 'spekulaatioita', 'clinton', 'aikoi', 'kritisoida', 'maanantaina', 'julkaistun', 'republikaanisen', 'donald', 'trumpin', 'talousalustaa', 'siitä', 'että', 'se', 'vain', 'suosii', 'hänelleen', 'miljonäärejä']",0.5384615384615384,0.2,0.041666666666666664,0.0,0.6086956521739131,0.22727272727272727,0.047619047619047616,0.0,0.1905381618146967,26,23
39,"Over the last two months we have been talking with the Junior Doctors Committee and have, along with the Department of Health and others, responded positively to their concerns regarding the Guardian Role and Whistleblowing.",-0.1262552072739869,"['viimeisen', 'kahden', 'kuukauden', 'aikana', 'olemme', 'keskustelleet', 'junior', 'doctors', 'committee', '-komitean', 'kanssa', 'ja', 'yhdessä', 'terveysministeriön', 'ja', 'muiden', 'kanssa', 'vastanneet', 'positiivisesti', 'heidän', 'huolenaiheisiinsa', 'koskien', 'valvonnan', 'roolia', 'guardian', 'role', 'ja', 'ilmiantoja', 'whistleblowing']","['viimeisten', 'kahden', 'kuukauden', 'aikana', 'olemme', 'keskustelleet', 'nuoren', 'lääkäreiden', 'komitean', 'kanssa', 'ja', 'he', 'ovat', 'yhdessä', 'terveysministeriön', 'ja', 'muiden', 'osastolla', 'vastanneet', 'myönteisesti', 'huoleensa', 'guardian', 'rooli', 'ja', 'whistleblowingista']",0.4827586206896552,0.2857142857142857,0.18518518518518517,0.11538461538461539,0.56,0.3333333333333333,0.21739130434782608,0.13636363636363635,0.13148892739199988,29,25
40,We could have faced a correction in any case,1.53422438707772,"['korjausliike', 'olisi', 'voinut', 'olla', 'edessä', 'joka', 'tapauksessa']","['olisimme', 'mahdollisesti', 'joutuneet', 'korjaamaan', 'joka', 'tapauksessa']",0.2857142857142857,0.16666666666666666,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.1547239514561551,7,6
41,70 special border jaegers swore their oath in Immola,-1.27986036292191,"['70', 'erikoisrajajääkäriä', 'vannoi', 'sotilasvalan', 'immolassa']","['70', 'erityistä', 'rajavartijaa', 'vannotti', 'valonsa', 'immolassa']",0.4,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.44835316659025853,5,6
42,"It was an unfortunate choice of words, we're sorry it happened.'",-0.439289593441502,"['kyseessä', 'oli', 'valitettava', 'sanavalinta', 'olemme', 'pahoillamme', 'että', 'näin', 'kävi']","['se', 'oli', 'valitettava', 'valinta', 'sanoista', 'valitettavasti', 'se', 'tapahtui']",0.2222222222222222,0.125,0.0,0.0,0.25,0.14285714285714285,0.0,0.0,0.15973786213015925,9,8
43,"In recent years, the cover has certainly featured more ""celebrities who model"" than ""models who are celebrities.""",-0.0830668787558319,"['viime', 'vuosina', 'kannessa', 'on', 'todellakin', 'ollut', 'enemmän', 'julkkiksia', 'jotka', 'toimivat', 'malleina', 'kuin', 'malleja', 'jotka', 'ovat', 'julkkiksia']","['viime', 'vuosina', 'kansi', 'on', 'varmasti', 'esitellyt', 'enemmän', 'julkkikset', 'jotka', 'mallivat', 'kuin', 'malleja', 'jotka', 'ovat', 'julkkiksia']",0.625,0.3333333333333333,0.21428571428571427,0.15384615384615385,0.6666666666666666,0.35714285714285715,0.23076923076923078,0.16666666666666666,0.19038977339648627,16,15
44,"The issue heated up the members of the opposition, who grilled the then Minister of Finance, Alexander Stubb (Coalition), about the election promises.",-0.393848879081642,"['asia', 'kuumensi', 'eduskunnassa', 'opposition', 'edustajia', 'jotka', 'hiillostivat', 'silloista', 'valtiovarainministeriä', 'alexander', 'stubbia', 'kok', 'vaalilupauksista']","['asia', 'kiihdytti', 'opposition', 'edustajia', 'jotka', 'söivät', 'valtiovarainministeri', 'alexander', 'stubbia', 'koalitio', 'vaalilupauksista']",0.5384615384615384,0.25,0.09090909090909091,0.0,0.6363636363636364,0.3,0.1111111111111111,0.0,0.1978227737661336,13,11
45,He started at Verb in 2001 and was there until the end.,1.93623649422053,"['hän', 'aloitti', 'verbissä', 'vuonna', '2001', 'ja', 'oli', 'siellä', 'loppuun', 'asti']","['hän', 'aloitti', 'verbissä', 'vuonna', '2001', 'ja', 'oli', 'siellä', 'loppuun', 'asti']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10,10
46,"“Maybe this isn’t so tempting for the thieves, this doesn’t necessarily even have any hipster value”, contemplates Hirvi, who lives in Helsinki.",1.02257261435052,"['ehkäpä', 'tämä', 'ei', 'niinkään', 'houkuttele', 'varkaita', 'tässä', 'ei', 'välttämättä', 'ole', 'hipsteriarvoakaan', 'helsinkiläinen', 'hirvi', 'pohtii']","['ehkä', 'tämä', 'ei', 'ole', 'niin', 'houkutteleva', 'varkaille', 'sillä', 'ei', 'välttämättä', 'ole', 'mitään', 'hipsterin', 'arvoa', 'hirvi', 'pohtii', 'helsingissä']",0.5,0.3076923076923077,0.08333333333333333,0.0,0.4117647058823529,0.25,0.06666666666666667,0.0,0.1593739972815245,14,17
47,Nearly 300 employees are laid off from the department store company Stockmann.,1.20013666693464,"['lähes', '300', 'työntekijää', 'irtisanotaan', 'tavarataloyhtiö', 'stockmannista']","['lähes', '300', 'työntekijää', 'lomautetaan', 'stockmannin', 'tavaratalosta']",0.5,0.4,0.25,0.0,0.5,0.4,0.25,0.0,0.4828372740783691,6,6
